Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,2184.750000,2191.600098,2148.719971,2152.149902,2152.149902,2193130000
2005-01-04,2158.310059,2159.639893,2100.560059,2107.860107,2107.860107,2690460000
2005-01-05,2102.899902,2116.750000,2091.239990,2091.239990,2091.239990,2375380000
2005-01-06,2098.510010,2103.899902,2088.030029,2090.000000,2090.000000,2174220000
2005-01-07,2099.949951,2103.389893,2076.689941,2088.610107,2088.610107,2191910000
2005-01-10,2087.620117,2111.429932,2086.659912,2097.040039,2097.040039,2098270000
2005-01-11,2089.070068,2090.620117,2072.620117,2079.620117,2079.620117,2210240000
2005-01-12,2089.699951,2093.439941,2066.790039,2092.530029,2092.530029,2257670000
2005-01-13,2093.540039,2094.800049,2067.939941,2070.560059,2070.560059,2111610000
2005-01-14,2079.469971,2088.580078,2075.469971,2087.909912,2087.909912,2084860000
2005-01-18,2081.860107,2106.189941,2078.040039,2106.040039,2106.040039,1983840000
2005-01-19,2105.739990,2105.840088,2072.199951,2073.590088,2073.590088,2217700000
2005-01-20,2056.379883,2065.590088,2045.880005,2045.880005,2045.880005,2231360000
2005-01-21,2053.149902,2058.000000,2032.880005,2034.270020,2034.270020,2043770000
2005-01-24,2040.130005,2043.969971,2008.680054,2008.699951,2008.699951,2134680000
2005-01-25,2022.079956,2037.180054,2017.579956,2019.949951,2019.949951,2003630000
2005-01-26,2034.689941,2049.340088,2028.189941,2046.089966,2046.089966,2105070000
2005-01-27,2042.770020,2053.939941,2036.089966,2047.150024,2047.150024,2106220000
2005-01-28,2052.540039,2055.129883,2024.359985,2035.829956,2035.829956,2098150000
2005-01-31,2053.469971,2063.179932,2053.469971,2062.409912,2062.409912,1823800000
